,City ,State ,Cert ,Acquiring Institution ,Fund,"Bank Name, City, State",Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions),Bank Name,Country
274,Fort Lauderdale,FL,57360,EverBank,10241,"Bank of Florida - Southeast, Fort Lauderdale, FL",28-May-10,$595.30 ,$531.70 ,Bank of Florida - Southeast,US
275,Saint Paul,MN,57735,Coulee Bank,10240,"Pinehurst Bank, St. Paul, MN",21-May-10,$61.20 ,$58.30 ,Pinehurst Bank,US
276,Elmwood Park,IL,18117,"FirstMerit Bank, N.A.",10236,"Midwest Bank and Trust Company, Elmwood Park, IL",14-May-10,"$3,170.00 ","$2,420.00 ",Midwest Bank and Trust Company,US
277,Springfield,MO,34255,Simmons First National Bank,10239,"Southwest Community Bank, Springfield, MO",14-May-10,$96.60 ,$102.50 ,Southwest Community Bank,US
278,Plymouth,MI,35586,Bank of Ann Arbor,10237,"New Liberty Bank, Plymouth, MI",14-May-10,$109.10 ,$101.80 ,New Liberty Bank,US
279,Saint Marys,GA,35114,Ameris Bank,10238,"Satilla Community Bank, Saint Marys, GA",14-May-10,$135.70 ,$134.00 ,Satilla Community Bank,US
280,San Diego,CA,35517,City National Bank,10232,"1st Pacific Bank of California, San Diego, CA",7-May-10,$335.80 ,$291.20 ,1st Pacific Bank of California,US
281,Mesa,AZ,57697,Commerce Bank of Arizona,10235,"Towne Bank of Arizona, Mesa, AZ",7-May-10,$120.20 ,$113.20 ,Towne Bank of Arizona,US
282,Champlin,MN,16476,PrinsBank,10233,"Access Bank, Champlin, MN",7-May-10,$32.00 ,$32.00 ,Access Bank,US
283,Bonifay,FL,14246,First Federal Bank of Florida,10234,"The Bank of Bonifay, Bonifay, FL",7-May-10,$242.90 ,$230.20 ,The Bank of Bonifay,US
284,Everett,WA,22710,"Union Bank, N.A.",10228,"Frontier Bank, Everett, WA",30-Apr-10,"$3,500.00 ","$3,130.00 ",Frontier Bank,US
285,Butler,MO,17792,Community First Bank,10225,"BC National Banks, Butler, MO",30-Apr-10,$67.20 ,$54.90 ,BC National Banks,US
286,Creve Coeur,MO,58362,BankLiberty,10227,"Champion Bank, Creve Coeur, MO",30-Apr-10,$187.30 ,$153.80 ,Champion Bank,US
287,Port Huron,MI,30005,First Michigan Bank,10226,"CF Bancorp, Port Huron, MI",30-Apr-10,"$1,650.00 ","$1,430.00 ",CF Bancorp,US
288,Mayaguez,PR,31027,Banco Popular de Puerto Rico,10231,"Westernbank Puerto Rico, Mayaguez, PR",30-Apr-10,"$11,940.00 ","$8,620.00 ",Westernbank Puerto Rico,US
289,Hato Rey,PR,32185,Scotiabank de Puerto Rico,10230,"R-G Premier Bank of Puerto Rico, Hato Rey, PR",30-Apr-10,"$5,920.00 ","$4,250.00 ",R-G Premier Bank of Puerto Rico,US
290,San Juan,PR,27150,Oriental Bank and Trust,10229,"Eurobank, San Juan, PR",30-Apr-10,"$2,560.00 ","$1,970.00 ",Eurobank,US
291,Naperville,IL,58429,Wheaton Bank & Trust,10224,"Wheatland Bank, Naperville, IL",23-Apr-10,$437.20 ,$438.50 ,Wheatland Bank,US
292,Peotone,IL,10888,First Midwest Bank,10223,"Peotone Bank and Trust Company, Peotone, IL",23-Apr-10,$130.20 ,$127.00 ,Peotone Bank and Trust Company,US
293,Chicago,IL,30600,Northbrook Bank & Trust Company,10221,"Lincoln Park Savings Bank, Chicago, IL",23-Apr-10,$199.90 ,$171.50 ,Lincoln Park Savings Bank,US
294,Chicago,IL,34821,"MB Financial Bank, N.A.",10222,"New Century Bank, Chicago, IL",23-Apr-10,$485.60 ,$492.00 ,New Century Bank,US
295,Chicago,IL,22853,"MB Financial Bank, N.A.",10219,"Broadway Bank, Chicago, IL",23-Apr-10,"$1,200.00 ","$1,100.00 ",Broadway Bank,US
296,Lynnwood,WA,21521,Whidbey Island Bank,10212,"City Bank, Lynnwood, WA",16-Apr-10,"$1,130.00 ","$1,020.00 ",City Bank,US
297,San Rafael,CA,33493,"Union Bank, N.A.",10217,"Tamalpais Bank, San Rafael, CA",16-Apr-10,$628.90 ,$487.60 ,Tamalpais Bank,US
298,Oakland,CA,23876,Center Bank,10214,"Innovative Bank, Oakland, CA",16-Apr-10,$268.90 ,$225.20 ,Innovative Bank,US
299,Lowell,MA,26619,People's United Bank,10211,"Butler Bank, Lowell, MA",16-Apr-10,$268.00 ,$233.20 ,Butler Bank,US
300,Fort Pierce,FL,24067,"TD Bank, N.A.",10216,"Riverside National Bank of Florida, Fort Pierce, FL",16-Apr-10,"$3,420.00 ","$2,760.00 ",Riverside National Bank of Florida,US
301,Clermont,FL,57724,"TD Bank, N.A.",10210,"AmericanFirst Bank, Clermont, FL",16-Apr-10,$90.50 ,$81.90 ,AmericanFirst Bank,US
302,Palatka,FL,28886,"TD Bank, N.A.",10213,"First Federal Bank of North Florida, Palatka, FL",16-Apr-10,$393.30 ,$324.20 ,First Federal Bank of North Florida,US
303,Sterling Heights,MI,34878,No Acquirer,10215,"Lakeside Community Bank, Sterling Heights, MI",16-Apr-10,$53.00 ,$52.30 ,Lakeside Community Bank,US
304,Myrtle Beach,SC,34242,Bank of North Carolina,10209,"Beach First National Bank, Myrtle Beach, SC",9-Apr-10,$585.10 ,$516.00 ,Beach First National Bank,US
305,Phoenix,AZ,57060,New York Community Bank,10205,"Desert Hills Bank, Phoenix, AZ",26-Mar-10,$496.60 ,$426.50 ,Desert Hills Bank,US
306,Cartersville,GA,34678,Bank of the Ozarks,10208,"Unity National Bank, Cartersville, GA",26-Mar-10,$292.20 ,$264.30 ,Unity National Bank,US
307,Key West,FL,34684,Centennial Bank,10206,"Key West Bank, Key West, FL",26-Mar-10,$88.00 ,$67.70 ,Key West Bank,US
308,Carrollton,GA,57399,CharterBank,10207,"McIntosh Commercial Bank, Carrollton, GA",26-Mar-10,$362.90 ,$343.30 ,McIntosh Commercial Bank,US
309,Aurora,MN,8221,Northern State Bank,10203,"State Bank of Aurora, Aurora, MN",19-Mar-10,$28.20 ,$27.80 ,State Bank of Aurora,US
310,Fort Deposit,AL,24957,First Citizens Bank,10204,"First Lowndes Bank, Fort Deposit, AL",19-Mar-10,$137.20 ,$131.10 ,First Lowndes Bank,US
311,Hiawassee,GA,10054,Citizens South Bank,10202,"Bank of Hiawassee, Hiawassee, GA",19-Mar-10,$377.80 ,$339.60 ,Bank of Hiawassee,US
312,Ellijay,GA,33989,Community & Southern Bank,10199,"Appalachian Community Bank, Ellijay, GA",19-Mar-10,"$1,010.00 ",$917.60 ,Appalachian Community Bank,US
313,Draper,UT,33535,No Acquirer,10200,"Advanta Bank Corp., Draper, UT",19-Mar-10,"$1,600.00 ","$1,500.00 ",Advanta Bank Corp.,US
314,Duluth,GA,58104,Bank of Upson,10198,"Century Security Bank, Duluth, GA",19-Mar-10,$96.50 ,$94.00 ,Century Security Bank,US
315,Parma,OH,18806,The National Bank and Trust Company,10201,"American National Bank, Parma, OH",19-Mar-10,$70.30 ,$66.80 ,American National Bank,US
316,Covington,LA,29561,Home Bank,10196,"Statewide Bank, Covington, LA",12-Mar-10,$243.20 ,$208.80 ,Statewide Bank,US
317,Orlando,FL,58182,Centennial Bank,10197,"Old Southern Bank, Orlando, FL",12-Mar-10,$315.60 ,$319.70 ,Old Southern Bank,US
318,New York,NY,58071,Valley National Bank,10194,"LibertyPointe Bank, New York, NY",11-Mar-10,$209.70 ,$209.50 ,LibertyPointe Bank,US
319,Ogden,UT,34430,No Acquirer,10193,"Centennial Bank, Ogden, UT",5-Mar-10,$215.20 ,$205.10 ,Centennial Bank,US
320,Germantown,MD,34976,No Acquirer,10190,"Waterfield Bank, Germantown, MD",5-Mar-10,$155.60 ,$156.40 ,Waterfield Bank,US
321,Normal,IL,9268,Heartland Bank and Trust Company,10191,"Bank of Illinois, Normal, IL",5-Mar-10,$211.70 ,$198.50 ,Bank of Illinois,US
322,Boca Raton,FL,27126,First-Citizens Bank & Trust Company,10192,"Sun American Bank, Boca Raton, FL",5-Mar-10,$535.70 ,$443.50 ,Sun American Bank,US
323,Tacoma,WA,38129,Umpqua Bank,10189,"Rainier Pacific Bank, Tacoma, WA",26-Feb-10,$717.80 ,$446.20 ,Rainier Pacific Bank,US
324,Carson City,NV,58352,Heritage Bank of Nevada,10188,"Carson River Community Bank, Carson City, NV",26-Feb-10,$51.10 ,$50.00 ,Carson River Community Bank,US
325,Orland Park,IL,29952,"FirstMerit Bank, N.A.",10184,"George Washington Savings Bank, Orland Park, IL",19-Feb-10,$412.80 ,$395.30 ,George Washington Savings Bank,US
326,La Coste,TX,3287,Community National Bank,10186,"The La Coste National Bank, La Coste, TX",19-Feb-10,$53.90 ,$49.30 ,The La Coste National Bank,US
327,Marco Island,FL,57586,Mutual of Omaha Bank,10187,"Marco Community Bank, Marco Island, FL",19-Feb-10,$119.60 ,$117.10 ,Marco Community Bank,US
328,Hancock,MN,15448,"Community Development Bank, FSB",10183,"1st American State Bank of Minnesota, Hancock, MN",5-Feb-10,$18.20 ,$16.30 ,1st American State Bank of Minnesota,US
329,Bainbridge Island,WA,16730,Columbia State Bank,10178,"American Marine Bank, Bainbridge Island, WA",29-Jan-10,$373.20 ,$308.50 ,American Marine Bank,US
330,Los Angeles,CA,23011,First-Citizens Bank & Trust Company,10177,"First Regional Bank, Los Angeles, CA",29-Jan-10,"$2,180.00 ","$1,870.00 ",First Regional Bank,US
331,Cornelia,GA,5702,SCBT National Association,10180,"Community Bank and Trust, Cornelia, GA",29-Jan-10,"$1,210.00 ","$1,110.00 ",Community Bank and Trust,US
332,Immokalee,FL,5672,"Premier American Bank, N.A.",10181,"Florida Community Bank, Immokalee, FL",29-Jan-10,$875.50 ,$795.50 ,Florida Community Bank,US
333,Carrollton,GA,16480,Community & Southern Bank,10179,"First National Bank of Georgia, Carrollton, GA",29-Jan-10,$832.60 ,$757.90 ,First National Bank of Georgia,US
334,The Dalles,OR,22469,Columbia State Bank,10176,"Columbia River Bank, The Dalles, OR",22-Jan-10,"$1,100.00 ","$1,000.00 ",Columbia River Bank,US
335,Seattle,WA,20501,Umpqua Bank,10172,"Evergreen Bank, Seattle, WA",22-Jan-10,$488.50 ,$439.40 ,Evergreen Bank,US
336,Santa Fe,NM,32498,Charter Bank,10175,"Charter Bank, Santa Fe, NM",22-Jan-10,"$1,200.00 ",$851.50 ,Charter Bank,US
337,Leeton,MO,8265,"Sunflower Bank, N.A.",10174,"Bank of Leeton, Leeton, MO",22-Jan-10,$20.10 ,$20.40 ,Bank of Leeton,US
338,Miami,FL,57147,"Premier American Bank, N.A.",10173,"Premier American Bank, Miami, FL",22-Jan-10,$350.90 ,$326.30 ,Premier American Bank,US
339,Kaysville,UT,1252,No Acquirer,10171,"Barnes Banking Company, Kaysville, UT",15-Jan-10,$827.80 ,$786.50 ,Barnes Banking Company,US
340,St. Stephen,MN,17522,First State Bank of St. Joseph,10169,"St. Stephen State Bank, St. Stephen, MN",15-Jan-10,$24.70 ,$23.40 ,St. Stephen State Bank,US
341,Bellingham,WA,22977,Washington Federal Savings and Loan Association,10168,"Horizon Bank, Bellingham, WA",8-Jan-10,"$1,300.00 ","$1,100.00 ",Horizon Bank,US
342,La Jolla,CA,26348,City National Bank,10161,"Imperial Capital Bank, La Jolla, CA",18-Dec-09,"$4,000.00 ","$2,800.00 ",Imperial Capital Bank,US
343,Springfield,IL,26820,The Independent BankersBank (TIB),10166,"Independent Bankers' Bank, Springfield, IL",18-Dec-09,$585.50 ,$511.50 ,Independent Bankers' Bank,US
344,Irondale,AL,32276,Beal Bank,10163,"New South Federal Savings Bank, Irondale, AL",18-Dec-09,"$1,500.00 ","$1,200.00 ",New South Federal Savings Bank,US
345,New Baltimore,MI,1006,No Acquirer,10162,"Citizens State Bank, New Baltimore, MI",18-Dec-09,$168.60 ,$157.10 ,Citizens State Bank,US
346,Panama City,FL,32167,Hancock Bank,10165,"Peoples First Community Bank, Panama City, FL",18-Dec-09,"$1,800.00 ","$1,700.00 ",Peoples First Community Bank,US
347,Atlanta,GA,58315,No Acquirer,10164,"RockBridge Commercial Bank, Atlanta, GA",18-Dec-09,$294.00 ,$291.70 ,RockBridge Commercial Bank,US
348,Overland Park,KS,4731,Arvest Bank,10160,"SolutionsBank, Overland Park, KS",11-Dec-09,$511.10 ,$421.30 ,SolutionsBank,US
349,Reston,VA,32583,Sonabank,10156,"Greater Atlantic Bank, Reston, VA",4-Dec-09,$203.00 ,$179.00 ,Greater Atlantic Bank,US
350,Aurora,IL,10440,"MB Financial Bank, N.A.",10154,"Benchmark Bank, Aurora, IL",4-Dec-09,$170.00 ,$181.00 ,Benchmark Bank,US
351,Cleveland,OH,29776,New York Community Bank,10155,"AmTrust Bank, Cleveland, OH",4-Dec-09,"$12,000.00 ","$8,000.00 ",AmTrust Bank,US
352,Reidsville,GA,12080,Heritage Bank of the South,10153,"The Tattnall Bank, Reidsville, GA",4-Dec-09,$49.60 ,$47.30 ,The Tattnall Bank,US
353,Norcross,GA,26290,State Bank and Trust Company,10157,"First Security National Bank, Norcross, GA",4-Dec-09,$128.00 ,$123.00 ,First Security National Bank,US
354,Atlanta,GA,34663,State Bank and Trust Company,10152,"The Buckhead Community Bank, Atlanta, GA",4-Dec-09,$874.00 ,$838.00 ,The Buckhead Community Bank,US
355,Fort Myers,FL,58016,Central Bank,10151,"Commerce Bank of Southwest Florida, Fort Myers, FL",20-Nov-09,$79.70 ,$76.70 ,Commerce Bank of Southwest Florida,US
356,San Clemente,CA,57914,Sunwest Bank,10150,"Pacific Coast National Bank, San Clemente, CA",13-Nov-09,$134.40 ,$130.90 ,Pacific Coast National Bank,US
357,Naples,FL,22427,IBERIABANK,10149,"Orion Bank, Naples, FL",13-Nov-09,"$2,700.00 ","$2,100.00 ",Orion Bank,US
358,San Francisco,CA,32469,East West Bank,10147,"United Commercial Bank, San Francisco, CA",6-Nov-09,"$11,200.00 ","$7,500.00 ",United Commercial Bank,US
359,St. Louis,MO,19450,Central Bank of Kansas City,10146,"Gateway Bank of St. Louis, St. Louis, MO",6-Nov-09,$27.70 ,$27.90 ,Gateway Bank of St. Louis,US
360,Oakdale,MN,35074,"Alerus Financial, N.A.",10143,"Prosperan Bank, Oakdale, MN",6-Nov-09,$199.50 ,$175.60 ,Prosperan Bank,US
361,Detroit,MI,30329,Liberty Bank and Trust Company,10144,"Home Federal Savings Bank, Detroit, MI",6-Nov-09,$14.90 ,$12.80 ,Home Federal Savings Bank,US
362,Sparta,GA,22286,Ameris Bank,10145,"United Security Bank, Sparta, GA",6-Nov-09,$157.00 ,$150.00 ,United Security Bank,US
363,Houston,TX,18776,U.S. Bank N.A.,10138,"North Houston Bank, Houston, TX",30-Oct-09,$326.20 ,$308.00 ,North Houston Bank,US
364,Madisonville,TX,33782,U.S. Bank N.A.,10142,"Madisonville State Bank, Madisonville, TX",30-Oct-09,$256.70 ,$225.20 ,Madisonville State Bank,US
365,Teague,TX,25222,U.S. Bank N.A.,10141,"Citizens National Bank, Teague, TX",30-Oct-09,$118.20 ,$97.70 ,Citizens National Bank,US
366,Chicago,IL,11677,U.S. Bank N.A.,10140,"Park National Bank, Chicago, IL",30-Oct-09,"$4,706.10 ","$3,730.90 ",Park National Bank,US
367,San Francisco,CA,30006,U.S. Bank N.A.,10139,"Pacific National Bank, San Francisco, CA",30-Oct-09,"$2,335.30 ","$1,762.80 ",Pacific National Bank,US
368,Los Angeles,CA,34659,U.S. Bank N.A.,10134,"California National Bank, Los Angeles, CA",30-Oct-09,"$7,792.20 ","$6,160.40 ",California National Bank,US
369,San Diego,CA,23594,U.S. Bank N.A.,10135,"San Diego National Bank, San Diego, CA",30-Oct-09,"$3,608.10 ","$2,892.40 ",San Diego National Bank,US
370,Lemont,IL,35291,U.S. Bank N.A.,10137,"Community Bank of Lemont, Lemont, IL",30-Oct-09,$81.80 ,$81.20 ,Community Bank of Lemont,US
371,Westmont,IL,35038,First Midwest Bank,10128,"First DuPage Bank, Westmont, IL",23-Oct-09,$279.00 ,$254.00 ,First DuPage Bank,US
372,Otsego,MN,57525,Central Bank,10133,"Riverview Community Bank, Otsego, MN",23-Oct-09,$108.00 ,$80.00 ,Riverview Community Bank,US
373,Racine,WI,18321,Tri City National Bank,10132,"Bank of Elmwood, Racine, WI",23-Oct-09,$327.40 ,$273.20 ,Bank of Elmwood,US
374,Bradenton,FL,35044,First Federal Bank of Florida,10129,"Flagship National Bank, Bradenton, FL",23-Oct-09,$190.00 ,$175.00 ,Flagship National Bank,US
375,Naples,FL,58336,Stonegate Bank,10131,"Hillcrest Bank Florida, Naples, FL",23-Oct-09,$83.00 ,$84.00 ,Hillcrest Bank Florida,US
376,Lawrenceville,GA,57794,Ameris Bank,10127,"American United Bank, Lawrenceville, GA",23-Oct-09,$111.00 ,$101.00 ,American United Bank,US
377,Naples,FL,57959,Stonegate Bank,10130,"Partners Bank, Naples, FL",23-Oct-09,$65.50 ,$64.90 ,Partners Bank,US
378,Bakersfield,CA,23266,Citizens Business Bank,10126,"San Joaquin Bank, Bakersfield, CA",16-Oct-09,$775.00 ,$631.00 ,San Joaquin Bank,US
379,Pueblo,CO,57263,Legacy Bank,10123,"Southern Colorado National Bank, Pueblo, CO",2-Oct-09,$39.50 ,$31.90 ,Southern Colorado National Bank,US
380,Spring Grove,MN,11416,Central Bank,10124,"Jennings State Bank, Spring Grove, MN",2-Oct-09,$56.30 ,$52.40 ,Jennings State Bank,US
381,Warren,MI,34824,The Huntington National Bank,10125,"Warren Bank, Warren, MI",2-Oct-09,$538.00 ,$501.00 ,Warren Bank,US
382,Atlanta,GA,57151,"First Citizens Bank and Trust Company, Inc.",10122,"Georgian Bank, Atlanta, GA",25-Sep-09,"$2,000.00 ","$2,000.00 ",Georgian Bank,US
383,Columbus,IN,10100,"First Financial Bank, N.A.",10120,"Irwin Union Bank and Trust Company, Columbus, IN",18-Sep-09,"$2,700.00 ","$2,100.00 ",Irwin Union Bank and Trust Company,US
384,Lacey,WA,22868,First-Citizens Bank & Trust Company,10119,"Venture Bank, Lacey, WA",11-Sep-09,$970.00 ,$903.00 ,Venture Bank,US
385,Woodbury,MN,57736,CorTrust Bank N.A.,10118,"Brickwell Community Bank, Woodbury, MN",11-Sep-09,$72.00 ,$63.00 ,Brickwell Community Bank,US
386,Flagstaff,AZ,34875,Sunwest Bank,10114,"First State Bank, Flagstaff, AZ",4-Sep-09,$105.00 ,$95.00 ,First State Bank,US
387,Rolling Meadows,IL,35030,No Acquirer,10115,"Platinum Community Bank, Rolling Meadows, IL",4-Sep-09,$345.60 ,$305.00 ,Platinum Community Bank,US
388,Sioux City,IA,27732,Great Southern Bank,10116,"Vantus Bank, Sioux City, IA",4-Sep-09,$458.00 ,$368.00 ,Vantus Bank,US
389,Oak Forest,IL,20203,"MB Financial Bank, N.A.",10113,"InBank, Oak Forest, IL",4-Sep-09,$212.00 ,$199.00 ,InBank,US
390,Kansas City,MO,25231,Great American Bank,10112,"First Bank of Kansas City, Kansas City, MO",4-Sep-09,$16.00 ,$15.00 ,First Bank of Kansas City,US
391,Ventura,CA,27197,Pacific Western Bank,10110,"Affinity Bank, Ventura, CA",28-Aug-09,"$1,000.00 ",$922.00 ,Affinity Bank,US
392,Forest Lake,MN,1909,Central Bank,10111,"Mainstreet Bank, Forest Lake, MN",28-Aug-09,$459.00 ,$434.00 ,Mainstreet Bank,US
393,Baltimore,MD,28312,Manufacturers and Traders Trust Company (M&T Bank),10109,"Bradford Bank, Baltimore, MD",28-Aug-09,$452.00 ,$383.00 ,Bradford Bank,US
394,Austin,TX,32618,BBVA Compass,10105,"Guaranty Bank, Austin, TX",21-Aug-09,"$13,000.00 ","$12,000.00 ",Guaranty Bank,US
395,Birmingham,AL,22130,IBERIABANK,10106,"CapitalSouth Bank, Birmingham, AL",21-Aug-09,$617.00 ,$546.00 ,CapitalSouth Bank,US
396,Newnan,GA,57702,United Bank,10108,"First Coweta Bank, Newnan, GA",21-Aug-09,$167.00 ,$155.00 ,First Coweta Bank,US
397,Atlanta,GA,34682,"Stearns Bank, N.A.",10107,"ebank, Atlanta, GA",21-Aug-09,$143.00 ,$130.00 ,ebank,US
398,Las Vegas,NV,34043,No Acquirer,10100,"Community Bank of Nevada, Las Vegas, NV",14-Aug-09,"$1,520.00 ","$1,380.00 ",Community Bank of Nevada,US
399,Phoenix,AZ,57645,MidFirst Bank,10101,"Community Bank of Arizona, Phoenix, AZ",14-Aug-09,$158.50 ,$143.80 ,Community Bank of Arizona,US
400,Montgomery,AL,9609,"Branch Banking & Trust Company, (BB&T)",10103,"Colonial Bank, Montgomery, AL",14-Aug-09,"$25,000.00 ","$20,000.00 ",Colonial Bank,US
401,Pittsburgh,PA,31559,"PNC Bank, N.A.",10104,"Dwelling House Savings and Loan Association, Pittsburgh, PA",14-Aug-09,$13.40 ,$13.80 ,Dwelling House Savings and Loan Association,US
402,Prineville,OR,23268,Home Federal Bank,10092,"Community First Bank, Prineville, OR",7-Aug-09,$209.00 ,$182.00 ,Community First Bank,US
403,Venice,FL,27183,"Stearns Bank, N.A.",10099,"Community National Bank of Sarasota County, Venice, FL",7-Aug-09,$97.00 ,$93.00 ,Community National Bank of Sarasota County,US
404,Sarasota,FL,27364,"Stearns Bank, N.A.",10098,"First State Bank, Sarasota, FL",7-Aug-09,$463.00 ,$387.00 ,First State Bank,US
405,Harvey,IL,18659,United Central Bank,10094,"Mutual Bank, Harvey, Illinois",31-Jul-09,"$1,600.00 ","$1,600.00 ",Mutual Bank,US
406,Elizabeth,NJ,34270,Crown Bank,10097,"First BankAmericano, Elizabeth, NJ",31-Jul-09,$166.00 ,$157.00 ,First BankAmericano,US
407,West Chester,OH,32288,"First Financial Bank, N.A.",10096,"Peoples Community Bank, West Chester, OH",31-Jul-09,$705.80 ,$598.20 ,Peoples Community Bank,US
408,Jupiter,FL,57604,Stonegate Bank,10095,"Integrity Bank, Jupiter, FL",31-Jul-09,$119.00 ,$102.00 ,Integrity Bank,US
409,Altus,OK,9873,Herring Bank,10093,"First State Bank of Altus, Altus, OK",31-Jul-09,$103.40 ,$98.20 ,First State Bank of Altus,US
410,Gray,GA,8486,State Bank and Trust Company,10088,"Security Bank of Jones County, Gray, GA",24-Jul-09,$453.00 ,$387.00 ,Security Bank of Jones County,US
411,Perry,GA,27048,State Bank and Trust Company,10087,"Security Bank of Houston County, Perry, GA",24-Jul-09,$383.00 ,$320.00 ,Security Bank of Houston County,US
412,Macon,GA,27367,State Bank and Trust Company,10085,"Security Bank of Bibb County, Macon, GA",24-Jul-09,"$1,200.00 ","$1,000.00 ",Security Bank of Bibb County,US
413,Woodstock,GA,57105,State Bank and Trust Company,10090,"Security Bank of North Metro, Woodstock, GA",24-Jul-09,$224.00 ,$212.00 ,Security Bank of North Metro,US
414,Alpharetta,GA,57430,State Bank and Trust Company,10089,"Security Bank of North Fulton, Alpharetta, GA",24-Jul-09,$209.00 ,$191.00 ,Security Bank of North Fulton,US
415,Suwanee,GA,57346,State Bank and Trust Company,10086,"Security Bank of Gwinnett County, Suwanee, GA",24-Jul-09,$322.00 ,$292.00 ,Security Bank of Gwinnett County,US
416,Williamsville,NY,58065,"Evans Bank, N.A.",10091,"Waterford Village Bank, Williamsville, NY",24-Jul-09,$61.40 ,$58.00 ,Waterford Village Bank,US
417,Temecula,CA,34341,First-Citizens Bank & Trust Company,10082,"Temecula Valley Bank, Temecula, CA",17-Jul-09,"$1,500.00 ","$1,300.00 ",Temecula Valley Bank,US
418,Rancho Cucamonga,CA,23556,California Bank & Trust,10083,"Vineyard Bank, National Association, Rancho Cucamonga, CA",17-Jul-09,"$1,900.00 ","$1,600.00 ",Vineyard Bank,US
419,Sioux Falls,SD,34103,"Alerus Financial, N.A.",10081,"BankFirst, Sioux Falls, SD",17-Jul-09,$275.00 ,$254.00 ,BankFirst,US
420,Winder,GA,34594,First American Bank and Trust Company,10084,"First Piedmont Bank, Winder, GA",17-Jul-09,$115.00 ,$109.00 ,First Piedmont Bank,US
421,Thermopolis,WY,22754,Central Bank & Trust,10080,"Bank of Wyoming, Thermopolis, WY",10-Jul-09,$70.00 ,$67.00 ,Bank of Wyoming,US
422,Worth,IL,18390,The PrivateBank and Trust Company,10074,"Founders Bank, Worth, IL",2-Jul-09,$962.50 ,$848.90 ,Founders Bank,US
423,Dallas,TX,57667,State Bank of Texas,10079,"Millennium State Bank of Texas, Dallas, TX",2-Jul-09,$118.00 ,$115.00 ,Millennium State Bank of Texas,US
424,Elizabeth,IL,9262,Galena State Bank and Trust Company,10073,"The Elizabeth State Bank, Elizabeth, IL",2-Jul-09,$55.50 ,$50.40 ,The Elizabeth State Bank,US
425,Oregon,IL,15302,The Harvard State Bank,10075,"Rock River Bank, Oregon, IL",2-Jul-09,$77.00 ,$75.80 ,Rock River Bank,US
426,Los Angeles,CA,57332,Wilshire State Bank,10072,"Mirae Bank, Los Angeles, CA",26-Jun-09,$456.00 ,$362.00 ,Mirae Bank,US
427,Irvine,CA,57893,Sunwest Bank,10071,"MetroPacific Bank, Irvine, CA",26-Jun-09,$80.00 ,$73.00 ,MetroPacific Bank,US
428,Pine City,MN,9744,"Stearns Bank, N.A.",10070,"Horizon Bank, Pine City, MN",26-Jun-09,$87.60 ,$69.40 ,Horizon Bank,US
429,Newnan,GA,35285,CharterBank,10069,"Neighborhood Community Bank, Newnan, GA",26-Jun-09,$221.60 ,$191.30 ,Neighborhood Community Bank,US
430,Villa Rica,GA,57436,No Acquirer,10068,"Community Bank of West Georgia, Villa Rica, GA",26-Jun-09,$199.40 ,$182.50 ,Community Bank of West Georgia,US
431,Anthony,KS,4614,Bank of Kansas,10066,"First National Bank of Anthony, Anthony, KS",19-Jun-09,$156.90 ,$142.50 ,First National Bank of Anthony,US
432,Wilmington,NC,27837,First Bank,10065,"Cooperative Bank, Wilmington, NC",19-Jun-09,$970.00 ,$774.00 ,Cooperative Bank,US
433,Fayetteville,GA,35251,United Community Bank,10067,"Southern Community Bank, Fayetteville, GA",19-Jun-09,$377.00 ,$307.00 ,Southern Community Bank,US
434,Lincolnwood,IL,17309,Republic Bank of Chicago,10064,"Bank of Lincolnwood, Lincolnwood, IL",5-Jun-09,$214.00 ,$202.00 ,Bank of Lincolnwood,US
435,Macomb,IL,5757,Morton Community Bank,10063,"Citizens National Bank, Macomb, IL",22-May-09,$437.00 ,$400.00 ,Citizens National Bank,US
436,Champaign,IL,35175,Midland States Bank,10062,"Strategic Capital Bank, Champaign, IL",22-May-09,$537.00 ,$471.00 ,Strategic Capital Bank,US
437,Bremerton,WA,34843,Kitsap Bank,10060,"Westsound Bank, Bremerton, WA",8-May-09,$334.60 ,$304.50 ,Westsound Bank,US
438,Layton,UT,35461,Cache Valley Bank,10057,"America West Bank, Layton, UT",1-May-09,$299.40 ,$284.10 ,America West Bank,US
439,Ridgewood,NJ,57563,North Jersey Community Bank,10058,"Citizens Community Bank, Ridgewood, NJ",1-May-09,$45.10 ,$43.70 ,Citizens Community Bank,US
440,Ketchum,ID,34396,"U.S. Bank, N.A.",10055,"First Bank of Idaho, Ketchum, ID",24-Apr-09,$488.90 ,$374.00 ,First Bank of Idaho,US
441,Calabasas,CA,32069,No Acquirer,10054,"First Bank of Beverly Hills, Calabasas, CA",24-Apr-09,"$1,500.00 ","$1,000.00 ",First Bank of Beverly Hills,US
442,Farmington Hills,MI,34369,Level One Bank,10056,"Michigan Heritage Bank, Farmington Hills, MI",24-Apr-09,$184.60 ,$151.70 ,Michigan Heritage Bank,US
443,Kennesaw,GA,57943,Bank of North Georgia,10053,"American Southern Bank, Kennesaw, GA",24-Apr-09,$112.30 ,$104.30 ,American Southern Bank,US
